aspects,sentiments,snippets,target,sentence
Corporate/Appointment,0.0,Board Names Gavin Hattersley Interim CEO,MillerCoors,MillerCoors Board Names Gavin Hattersley Interim CEO
Corporate/Dividend Policy,0.549,after dividend hike,Land Securities,"Britain's FTSE gains, Land Securities up after dividend hike"
Stock/Price Action,0.558,Mondi and Barratt lead,Barratt,"Britain's FTSE bounces back, Mondi and Barratt lead"
Corporate/Sales/Deal,0.195,Shires Deal for NPS,Shire,Morning Agenda: Shire's Deal for NPS
Corporate/Sales,0.689,Sales Up 18,Old Mutual,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets
Corporate/Sales,0.304,UK sales growth,Kingfisher,Do it for me' trend underpins UK sales growth at Kingfisher
Corporate/Strategy/Corporate Expansion,0.372,Aldi and Lidl expansion,Lidl,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ..."
Corporate/Sales/Deal,0.199,extends gas deals,Gazprom,"Centrica extends gas deals with Gazprom, Statoil"
Corporate/Strategy/Company Agreement,0.119,Group Sign Memo of Understanding ..,China Merchants Group,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...
Market/Conditions,-0.364,says conditions to remain challenging,Aberdeen AM,"Aberdeen AM posts H1 outflows, says conditions to remain challenging"
Corporate/Regulatory,0.242,FDA Approves,AstraZeneca,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug
Stock/Price Action,0.433,share price jumps,Severn Trent,Severn Trent share price jumps as Canadian investor renews pursuit of utility
Corporate/Risks,0.143,diffuse investor tension,Morrisons,New Morrisons duo get former boss's support to diffuse investor tension
Stock/Coverage/AnalystRatings/downgrade,-0.53,downgrades Barclays and RBS,RBS,S&P downgrades Barclays and RBS on government bailout fears
Stock/IPO,0.189,London listing,Cairn Homes,Irish housebuilder Cairn Homes plans London listing
Corporate/Sales,-0.41,sales outlook,Arm,Arm slammed by handset sales outlook
Corporate/Appointment,0.076,adds exSEC head Schapiro to board,LSE,CompaniesLSE adds ex-SEC head Schapiro to board
Corporate/Sales/Sales,-0.41,Sales boost,Tesco,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls
Stock/Price Action,0.589,flat Standard Chartered leads risers,Standard Chartered,FTSE 100 flat; Standard Chartered leads risers
Corporate/Appointment,-0.025,appointment as RBS director delayed,RBS,CompaniesHoward Davies appointment as RBS director delayed
Corporate/Appointment,-0.09,David Nish quits as chief executive,Standard Life,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life
Corporate/Sales/Sales,0.329,rise at EasyJet and Aer Lingus,EasyJet,Passengers rise at EasyJet and Aer Lingus
Corporate/Sales,0.478,profit boost on strong sales,Dixons Carphone,Dixons Carphone profit boost on strong sales
Stock/Price Action,0.334,rallies off threemonth low,Sainsbury,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury"
Market/Market/Market Trend,-0.438,lead FTSE lower,Royal Mail,"Royal Mail, Johnson Matthey lead FTSE lower"
Stock/Price Action,-0.303,pressures take a toll,Sainsbury,Sainsbury sales slip again as price pressures take a toll
Stock/IPO,0.214,raise 100m in London IPO,Sophos,Sophos aims to raise $100m in London IPO
Corporate/M&A/Proposed Merger,0.164,Stifel to buy former Lehman brokerage,Lehman,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays
Corporate/M&A/Proposed Merger,0.214,putting together new Severn Trent bid,Severn Trent,Borealis Infrastructure putting together new Severn Trent bid
Corporate/Risks,-0.414,Greek debt concerns,easyjet,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids"
Stock/Price Action,-0.626,share price slumps,Johnson Matthey,Johnson Matthey share price slumps as company posts full-year results
Corporate/Legal,0.199,After Settling With Lehman Bros Trustee,Barclays,UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee
Corporate/Strategy,-0.195,VideoStreaming Ambitions,Blinkbox,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale
Corporate/Risks,-0.343,books further 30m cost for Shetland gas terminal delays,Petrofac,Petrofac books further Â£30m cost for Shetland gas terminal delays
Stock/Price Action,0.09,share price rise,Petrofac,Petrofac share price rises despite Â£30m costs on North Sea project
Corporate/Sales,-0.1,defends sales fall as just a blip,Whitbread,Whitbread boss Andy Harrison defends sales fall as 'just a blip'
Stock/Price Action,-0.373,share price subdued,Barclays,Barclays share price subdued as bank faces fresh forex probe
Corporate/Rumors,0.721,Shire takeover talk,Actelion,CompaniesActelion shares hit record on Shire takeover talk
Corporate/M&A/Proposed Merger,0.332,validating Shire takeover deal,Shire,"FDA approves NPS drug, in move validating Shire takeover deal"
Corporate/Regulatory,0.247,LSE gets Hong Kong regulatory nod,LSE,LSE gets Hong Kong regulatory nod to HK firms to become LSE members
Stock/Technical Analysis/Trend/Trending up,0.415,Diageo Shares Surge,Lemann,Diageo Shares Surge on Report of Possible Takeover by Lemann
Corporate/Regulatory,-0.333,s surprise at size of regulatory penalties,RBS,RBS chairman admits surprise at size of regulatory penalties
Corporate/Appointment/Executive Appointment,0.002,Insurance Hires Towergates Egan as Chief Financial Officer,Towergate,RSA Insurance Hires Towergate's Egan as Chief Financial Officer
Corporate/Dividend Policy,0.281,raises prospect of investor payout,Johnson Matthey,Johnson Matthey raises prospect of investor payout
Corporate/Rumors/Scoop,-0.078,Denies Reports of Starwood Merger Talks,Starwood,InterContinental Hotels Denies Reports of Starwood Merger Talks
Market/Market/Market Trend,0.452,help Britains FTSE to climb higher,Hikma,REFILE-Hikma and Barclays help Britain's FTSE to climb higher
Corporate/Legal/Settlement,0.171,Settlement With California Regulator,Ocwen,Ocwen Reaches Settlement With California Regulator
Corporate/Regulatory,0.42,FDA Approves AstraZenecas Iressa,AstraZeneca,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment
Corporate/Risks,-0.392,suffers setback,AstraZeneca,AstraZeneca suffers setback after drug fails to treat eye cancer
Market/Currency,-0.346,hurt by currency moves,British American Tobacco,British American Tobacco first-half sales hurt by currency moves
Corporate/Rumors/Rumors,0.25,Insurance Considering Offer for UK Rival RSA Insurance,Zurich Insurance,Zurich Insurance Considering Offer for UK Rival RSA Insurance
Corporate/Sales/Deal,0.262,lands Financial Times in 1.3 billion deal,Nikkei,Japan's Nikkei lands Financial Times in $1.3 billion deal
Corporate/Legal/Lawsuit,-0.248,sued by tax avoidance clients,Coutts,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients"
Corporate/Sales/Deal,0.258,sells rare cancer drug to Sanofi,Sanofi,UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln
Corporate/Sales/Deal,0.234,sells unit to LloydsPharmacy,Sainsbury,Sainsbury sells unit to LloydsPharmacy
Corporate/Sales,0.39,sales boosted by,BAE Systems,BAE Systems's sales boosted by European Typhoon and currencies
Corporate/Legal,-0.315,breached competition law,Royal Mail,"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims"
Stock/Price Action,0.329,FTSE steadies supported by Dixons Carphone,Dixons Carphone,"Britain's FTSE steadies, supported by Dixons Carphone"
Corporate/Sales/Partnership,0.284,Signs China Manufacturing Deal With Desano,Glaxo,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano
Corporate/Sales/Deal,0.233,sells Caprelsa rights to Sanofi unit,Sanofi,AstraZeneca sells Caprelsa rights to Sanofi unit
Corporate/Strategy,-0.229,to speed up strategic change,Barclays,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change
Stock/Price Action/Bearish/Bearish Behaviour,-0.665,Rio Tinto Sink in Commodities Rout,Rio Tinto,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout
Market/Market/Market Trend,-0.448,FTSE led lowe,MS,"FTSE led lower by M&S, GlaxoSmithKline"
Corporate/Sales,-0.113,festive sales test,Morrisons,Morrisons faces festive sales test
Corporate/M&A/M&A,0.276,to buy Fokker Technologies,GKN,GKN to buy Fokker Technologies for 706 mln euros
Corporate/Sales/Deal,0.198,Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,Ennismore Group,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group
Corporate/Sales/Deal,0.148,Legal  General Sell Egyptian Life Joint Venture To AXA,CIB,"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA"
Corporate/M&A/M&A,0.202, Set To Be Acquired By WPP And Providence,WPP,Chime Communications Set To Be Acquired By WPP And Providence
Corporate/Strategy,0.177,to reshape business strip costs,Aggreko,"CompaniesNew Aggreko CEO to reshape business, strip costs"
Corporate/Sales/Deal,0.33,to Pay Inovio Up to 700 Million for Cancer Drug,Inovio,AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug
Market/Market,0.0,iron ore market at equilibrium,Rio Tinto,Rio Tinto CEO says iron ore market at equilibrium
Economy/Trade/Sanctions,-0.314,US sanctions put ,Shell,US sanctions put Gazprom-Shell alliance plans in jeopardy
Corporate/Dividend Policy,-0.158,Not Raising Capital Yet As Dividend Cut,Standard Chartered,Standard Chartered Not Raising Capital Yet As Dividend Cut
Stock/Price Action,-0.357,share price dips,Blinkbox,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...
Corporate/Risks,-0.338,credit ratings fragile in FY16 agencies warn,BHP,"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn"
Corporate/M&A/M&A,0.231,adds CR Laurence to acquisitions tally for 1.3bn,CRH,CRH adds CR Laurence to acquisitions tally for $1.3bn
Corporate/Risks,-0.24,Facing Tough Competition,AstraZeneca,Stakes High for AstraZeneca Heart Drug Facing Tough Competition
Corporate/M&A/M&A,0.235,Shire to buy NPS for 5.2 billion to boost rare disease drugs,Shire,Shire to buy NPS for $5.2 billion to boost rare disease drugs
Corporate/Sales/Deal,0.217,buys remaining rights to GSK treatment in deal up to 1 billion,Novartis,Novartis buys remaining rights to GSK treatment in deal up to $1 billion
Corporate/Sales/Deal,0.316,bags another cancer drug deal,Inovio,"AstraZeneca bags another cancer drug deal, this time with Inovio"
Market/Conditions/Mutual Fund flows,-0.398,Investors to move 34 bln euros in assets from AXA fund arm,AXA,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm
Corporate/Dividend Policy,-0.338,still paying price for dividend cut,LG,"L&G still paying price for dividend cut during crisis, chief says"
Corporate/Company Communication,-0.566,Reports 37 Percent Drop in 2Q Earnings,Berkshire Hathaway Inc.,Buffett's Company Reports 37 Percent Drop in 2Q Earnings
Corporate/Dividend Policy,0.769,Hikes Dividend 20 As Profit And Revenue Rise,Travis Perkins,Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise
Corporate/Sales,-0.398,sales fall as march of the discounters,Tesco,"Tesco, Asda sales fall as march of the discounters continues: Kantar"
Corporate/M&A/Proposed Merger,0.22,proposes 30 bln allshare tieup with,Shire,Shire proposes $30 bln all-share tie-up with Baxalta
Corporate/Strategy/Corporate Planning,0.124,CEO steps up drive to get Baxalta board talking,Shire,Shire CEO steps up drive to get Baxalta board talking
Corporate/Sales/Demand Shortfall,-0.356,Asda sales fall as march of the discounters continues,Asda,"Tesco, Asda sales fall as march of the discounters continues-Kantar"
Corporate/Regulatory,-0.446,accused of hurting rivals,Verizon,Verizon and AT&T accused of hurting rivals
Market/Volatility,-0.479,FTSE 100 falls as,Burberry,"FTSE 100 falls as China devaluation hits Burberry, mining stocks"
Corporate/Sales/Deal,0.295,Licensing Deal With Omnis Pharmaceuticals,Omnis Pharmaceuticals,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals
Corporate/Legal/Settlement,-0.647,agree to pay 2 billion to settle forex .,Citi,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ..."
Corporate/Regulatory,0.291,FDA approves Shires Vyvanse,Shire,FDA approves Shire's Vyvanse for binge-eating disorder
Stock/IPO,0.302,driving 180m IPO,Hastings Group,CompaniesCar insurer Hastings Group driving Â£180m IPO
Corporate/Sales/Failed Contract Discussion,-0.161,Crest loses a third of Morrisons milk contract,Morrisons,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract
Corporate/Risks,-0.718,debt fears grow,Glencore,Glencore slumps 25 pct as debt fears grow
Corporate/M&A/M&A,0.182,e acquires neighbouring Glencore nickel property,Horizonte,Horizonte acquires neighbouring Glencore nickel property in Brazil
Stock/IPO,0.245,announces arrival of London IPO,Thetrainline.com,Companies Thetrainline.com announces arrival of London IPO
Corporate/Appointment,0.078,confirms CEO appointment,Morrissons,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment
Corporate/Company Communication,-0.731,unveils which stores will close as 900 jobs face the axe,Morrissons,Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe
Corporate/Risks,-0.781,debt fears grow,Glencore,Glencore slumps 30 percent as debt fears grow
Corporate/Strategy,0.357,Gains Foothold In China,Aberdeen Asset Managment,Aberdeen Asset Management Gains Foothold In China
Corporate/Strategy,0.273,Partners With International Business Machines Corp. To Drive,ARM Holdings,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...
Stock/Price Action,-0.597,FTSE 100 drops 2.5 pct,Glencore,"FTSE 100 drops 2.5 pct on Glencore, metals price fears"
Corporate/Strategy/Investment,0.198,Citigroup has blockchain in sight,Barclays,"After Barclays and Bank of America, Citigroup has blockchain in sight"
Corporate/M&A/Proposed Merger,0.237,approaches SABMiller to explore 250bn tieup,SAB Miller,AB InBev approaches SABMiller to explore $250bn tie-up
Corporate/Regulatory,0.379,regulator backs approval for GSK,GSK,EU regulator backs approval for GSK injectable asthma drug
Corporate/Risks,0.278,over debt fears,Glencore,Glencore fight back over debt fears lifts shares
Stock/Fundamentals,0.461,Ashtead jumps on strong interims,Ashtead,"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ..."
Corporate/M&A/Proposed Merger,0.295,seeks 275 bln tieup with SABMiller,SABMiller,Brewer AB InBev seeks $275 bln tie-up with SABMiller
Corporate/M&A/Proposed Merger,0.276,looks to win over SABMiller investors,SABMiller,AB InBev looks to win over SABMiller investors
Corporate/Regulatory,0.418,EU regulator backs approval for GSK,GSK,UPDATE 1-EU regulator backs approval for GSK injectable asthma drug
Market/Market,-0.571,Copper market,Glencore,Copper market may get a 2003-style supply shock from Glencore closures
Corporate/M&A/M&A,0.12,IAG can pay more for Aer Lingus,IAG,Breakingviews: IAG can pay more for Aer Lingus
Corporate/Appointment/Staff Hiring,-0.113,TalkTalk hires BAE Systems,TalkTalk,TalkTalk hires BAE Systems to investigate cyber attack
Corporate/M&A/M&A,0.236,AB InBev Bid for SABMiller Ups Stake,SAB Miller,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle
Corporate/Rumors/Scoop,0.107,signals it wont go hostile,SAB Miller,CompaniesAB InBev signals it won't go hostile for SABMiller
Stock/Price Action,0.719,share price jumps,Tesco,Tesco share price jumps as Q3 sales top estimates
Corporate/Risks,-0.391,faces delay after FDA rebuf,AstraZeneca,AstraZeneca diabetes drug combination faces delay after FDA rebuff
Corporate/Appointment,0.0,Appoints Ranjan Ray Chaudhuri as Global Commercial Lead,Mylan,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...
Market/Currency,-0.439,hit by weaker EM currencies,SAB Miller,SABMiller revenue hit by weaker EM currencies
Corporate/M&A/Proposed Merger,0.172,rejects AB InBevs 104 bln takeover approach,SAB Miller,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach
Stock/Signal/Buy Signal,0.282,concrete bid for Holcim Lafarge assets,Holcim Lafarge,CRH's concrete bid for Holcim Lafarge assets
Market/Market,0.008,Market Report Eightday rally ends for FTSE 100,Standard Chartered,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered
Corporate/M&A/M&A,0.197,offers SABMiller 3 billion breakup fee,SAB Miller,AB InBev offers SABMiller $3 billion breakup fee
Economy/Trade,0.294,joins China trade push,GSK,GSK joins China trade push as UK trumpets healthcare deals
Corporate/M&A/Proposed Merger,0.257,ups offer for SABMiller,SAB Miller,AB InBev ups offer for SABMiller as deadline looms
Stock/Fundamentals,0.337,Tesco PLCs Recovery Continues,Tesco,Tesco PLC's Recovery Continues With A Â£250m Cash Infusion
Market/Volatility,0.162,METALSZinc surges 12 pct after,Glencore,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally"
Corporate/Sales,0.383,sales lifted by ice cream in soft economy,Unilever,CompaniesUnilever sales lifted by ice cream in soft economy
Corporate/Rumors/Rumors,0.127,Latest Bid Said Unlikely to Win SABMillers Approval,SABMiller,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval
Stock/Price Action,0.975,share price climbs on 23 rise,Persimmon,Persimmon share price climbs on 23% rise in full-year revenue
Stock/Price Action,0.512,FTSE forges ahead as Shire surges,Shire,Britain's FTSE forges ahead as Shire surges
Corporate/M&A/M&A,-0.158,attacks SABMiller bid rebuffal,SABMiller,AB InBev attacks SABMiller bid rebuffal
Corporate/M&A/Proposed Merger,0.24,InBev Increases Offer for Rival SABMiller,SABMiller,Anheuser-Busch InBev Increases Offer for Rival SABMiller
Corporate/Reputation/Scoop,0.424,Why Id Buy ARM Holdings plc And BHP Billiton plc Today,BHP Billiton,Why I'd Buy ARM Holdings plc And BHP Billiton plc Today
Corporate/Reputation/Scoop,0.434,Are The 2 Banks Id Buy Today,Lloyds,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today
Corporate/Risks/Price Competition,-0.227,Dismisses Lufthansa LowCost Plan in Contest for Germany,Lufthansa,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany
Corporate/Legal,-0.261,lower limit on potential fine for BP,BP,Ruling sets lower limit on potential fine for BP
Corporate/Rumors/Scoop,0.318,Chinas CNPC to unveil oil alliance  sources,CNPC,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources"
Corporate/Reputation/Dispute,0.016,Digs In With Board Divided on InBev Offer,SABMiller,SAB's Chairman Digs In With Board Divided on InBev Offer
Corporate/M&A/Joint Venture,0.225,form Joint Venture Limited Liability Company to Purchase ..,Kinder Morgan,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...
Corporate/Legal,-0.459,236 Million Jury Award Agains,ExxonMobil,Supreme Court Upholds $236 Million Jury Award Against ExxonMobil
Stock/Coverage,-0.812,Shares Plunge 7,Standard Chartered,Standard Chartered's Shares Plunge 7% After Fitch Downgrade
Stock/Price Action,-0.526,share price slides,Reed Elsevier,Reed Elsevier share price slides on underwhelming full-year results
Corporate/M&A/M&A,0.238,wins race for programmatic buying agency Essence Digital,WPP,WPP wins race for 'programmatic buying' agency Essence Digital
Corporate/Legal/Lawsuit,-0.637,Brazil to sue Samarco for 3.5bn,Samarco,BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn
Corporate/Risks,-0.593,slides on balance sheet worries,G4S,G4S slides on balance sheet worries
Corporate/Regulatory,0.507,FDA approves AstraZeneca,AstraZeneca,FDA approves AstraZeneca drug for advanced lung cancer
Stock/Fundamentals,0.021,reiterates annual outlook after tough 2014,Meggitt,UPDATE 1-Meggitt reiterates annual outlook after tough 2014
Corporate/Appointment,0.154,appoints business leaders to board,HSBC,HSBC appoints business leaders to board
Corporate/Appointment,-0.074,shakes up board with two new business chiefs three departures,HSBC,"HSBC shakes up board with two new business chiefs, three departures"
