aspects,sentiments,snippets,target,sentence,combined,news
Corporate/Financial/Accounting,-0.515,Sales weak margins down debt still way up.,SWY,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.","Sales weak margins down debt still way up. @SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",sales weak margins debt still way soullor regular scrappy q swy usually presents sales weak margins debt still way 
Stock/Price Action/Bullish/Bullish Behavior,0.144,Taking out the shorts here,AAPL,"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.","Taking out the shorts here $AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",taking shorts aapl taking shorts punishing reminder spear strongest herd
Stock/Technical Analysis,0.221,will challendge 200EMA in not distant future,FMS,Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,will challendge 200EMA in not distant future Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,challendge ema distant future think fms challendge ema distant future   look yesterdays volume
Corporate/Strategy,0.461,Apple mastered EVERYONES supply chain,AAPL,"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!","Apple mastered EVERYONES supply chain RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",apple mastered everyones supply chain rt dasan tmtanalyst since aapl mastered supply chain  cornering nand apple mastered everyones supply chain
Corporate/Risks,-0.358,lags on capital worries,Standard Chartered,Standard Chartered lags on capital worries,lags on capital worries Standard Chartered lags on capital worries,lags capital worries standard chartered lags capital worries
Stock/Price Action,0.292,share price lifts,Lloyds,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,share price lifts Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,share price lifts lloyds banking groups share price lifts amid reports bank poised axe hundreds uk jobs
Stock/Coverage/AnalystRatings/Upgrade,0.394,analyst upgrades last week,PRLB,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,analyst upgrades last week $PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.,analyst upgrades last week prlb hanging tough market due analyst upgrades last week almost
Stock/Price Action/Bullish/Bullish Behavior,0.469,Its accumulating. I think buy now or hold your peace. This should go up todaytomorrow.,AMRN,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,Its accumulating. I think buy now or hold your peace. This should go up todaytomorrow. $AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,accumulating think buy hold peace go todaytomorrow amrn accumulating think buy hold peace go todaytomorrow
Stock/Price Action,0.308,Looking for continuation with volume increase,AXP,$AXP Looking for continuation with volume increase http://stks.co/c8sR,Looking for continuation with volume increase $AXP Looking for continuation with volume increase http://stks.co/c8sR,looking continuation volume increase axp looking continuation volume increase httpstkscocsr
Corporate/Dividend Policy,0.444,double dip dividend play,MSFT,MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,double dip dividend play MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,double dip dividend play mt theacsman amazing seeing everyone suddenly touting msft long favorite covered call  double dip dividend play
Corporate/Sales,0.315,sales numbers still holding up so well,SKS,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,sales numbers still holding up so well Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,sales numbers still holding well surprising see jwn sks sales numbers still holding well guess high end might concern 
Corporate/Sales,0.586,steep global sales increase,CAT,"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT","steep global sales increase AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",steep global sales increase ap caterpillar posts  percent jump q profit steep global sales increase tops wall st view  cat
Stock/Price Action/Bullish/Bull Position,0.428,Long 12 position,SPY,$SPY Long 1/2 position 137.89,Long 12 position $SPY Long 1/2 position 137.89,long  position spy long  position
Stock/Price Action,-0.22,price momentum weakening going into the close.,AAPL,$AAPL price momentum weakening going into the close.,price momentum weakening going into the close. $AAPL price momentum weakening going into the close.,price momentum weakening going close aapl price momentum weakening going close
Stock/Price Action/Future Price/Direction,0.166,still on track for 500,AAPL,RT @ACInvestorBlog $AAPL still on track for $500,still on track for 500 RT @ACInvestorBlog $AAPL still on track for $500,still track rt acinvestorblog aapl still track 
Stock/Price Action/Bearish,-0.26,fast 56pc div,SPY,$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,fast 56pc div $SPY $MITK fast 56pc dive http://stks.co/3ffN $$,fast pc div spy mitk fast pc dive httpstkscoffn
Stock/Price Action/Bullish/Bull Position,0.433,in for swing trade looks like want go up,BAC,$BAC in for swing trade  looks like want go up,in for swing trade looks like want go up $BAC in for swing trade  looks like want go up,swing trade looks like want go bac swing trade  looks like want go 
Corporate/M&A/M&A,0.486,acquisition news,PCLN,$PCLN runs into the 50sma on the acquisition news,acquisition news $PCLN runs into the 50sma on the acquisition news,acquisition news pcln runs sma acquisition news
Stock/Technical Analysis,-0.175,Should have the channel cleared soon and on solid footing,AAPL,$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),Should have the channel cleared soon and on solid footing $aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),channel cleared soon solid footing aapl short term fundredemption liquidations channel cleared soon solid footing  new floor come july
Stock/Price Action/Bullish,0.61,big bounce,WYNN,$WYNN big bounce,big bounce $WYNN big bounce,big bounce wynn big bounce
Stock/Technical Analysis,-0.143,Resistance 10 points north at 200d and downward trendline,GLD,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,Resistance 10 points north at 200d and downward trendline $GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,resistance  points north downward trendline gld httpstkscoow closer inspection  resistance  points north downward trendline chart  
Stock/Price Action/Bearish/Bearish Behavior,-0.37,wants lower. up waves getting smaller,AAPL,$AAPL wants lower. up waves getting smaller on the 2 min,wants lower. up waves getting smaller $AAPL wants lower. up waves getting smaller on the 2 min,wants lower waves getting smaller aapl wants lower waves getting smaller min
Stock/Fundamentals/Short Interest Rate,-0.342,Short interest increases yet again,SPY,Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,Short interest increases yet again Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,short interest increases yet short interest increases yet httpstkscoeh via ryandetrick spy
Stock/Price Action/Bearish,-0.169,this erases all of todays gains,QCOR,"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of","this erases all of todays gains $QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",erases todays gains qcor little pullback fine erases todays gains cannot believe manipulation capable 
Stock/Technical Analysis,0.574,MACD CROSSOVER with RSI and STO going up,WMT,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,MACD CROSSOVER with RSI and STO going up $WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,macd crossover rsi sto going wmt bullish macd crossover rsi sto going res could run httpstkscoggcq
Corporate/M&A/M&A,0.396,takeover interest,RA,Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,takeover interest Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,takeover interest rival companies gwr watco eyeing ra w takeover interest  httpstkscooxy
Stock/Technical Analysis,-0.025,620 resistance area,AAPL,$AAPL 620 resistance area,620 resistance area $AAPL 620 resistance area,resistance area aapl  resistance area
Stock/Price Action/Bearish,-0.573,its been a sinking ship,HK,what is up with $HK..... from Jan to now it's been a sinking ship...,its been a sinking ship what is up with $HK..... from Jan to now it's been a sinking ship...,sinking ship hk jan sinking ship
Corporate/M&A,0.076,was right to reject the offer,WGO,"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.","was right to reject the offer $WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",right reject offer wgos bod right reject offer company low economy type mismanagement anything
Stock/Options,0.579,Long LEAPS,AAPL,I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,Long LEAPS I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=,long leaps im professional analyst put mouth aapl b yrendthats another hun herelong leaps
Stock/Price Action,0.19,bounce right now has no vol,AAPL,"$AAPL bounce right now has no vol, more vol when it slid","bounce right now has no vol $AAPL bounce right now has no vol, more vol when it slid",bounce right vol aapl bounce right vol vol slid
Stock/Technical Analysis,0.351,now indicators turning up RSI MACD SMI,LULU,"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look","now indicators turning up RSI MACD SMI $LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",indicators turning rsi macd smi lulu httpstkscooi bounced support early week  indicators turning rsi macd smi worth look
Stock/Technical Analysis,-0.202,Looking for bottom. Rsi under 30,NIHD,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,Looking for bottom. Rsi under 30 $NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,looking bottom rsi nihd insiders got one wrong looking bottom rsi 
